page_id,block_count,title_or_header,body_text,formula_box,example_solution_box,reference_text,caption_or_legend,table,graph_or_figure,footer,small_element
1,1,0,0,0,0,0,0,1,0,0,0
2,2,0,1,0,0,0,0,1,0,0,0
3,4,0,2,0,0,0,0,1,0,1,0
4,5,0,2,0,1,0,0,2,0,0,0
5,1,0,0,0,0,0,0,1,0,0,0
6,1,0,0,0,0,0,0,1,0,0,0
7,6,0,1,1,1,0,0,1,1,1,0
8,6,0,1,2,0,0,1,1,0,1,0
9,4,0,1,0,1,0,0,2,0,0,0
10,3,0,1,0,0,0,0,2,0,0,0
11,5,0,0,0,0,0,2,1,1,1,0
12,8,0,4,0,1,0,1,0,1,1,0
13,6,0,3,1,0,0,0,0,1,1,0
14,5,0,1,1,1,0,0,0,1,1,0
15,6,0,3,0,0,0,1,1,0,1,0
16,7,0,1,1,1,1,1,0,1,1,0
17,5,0,2,0,0,0,0,1,1,1,0
18,24,0,19,1,0,0,2,1,0,1,0
19,19,0,14,0,0,0,3,0,1,1,0
20,4,0,2,0,1,0,0,0,0,1,0
21,7,0,4,0,1,0,0,1,0,1,0
22,14,0,7,0,0,0,5,0,1,1,0
23,7,0,2,0,2,0,1,0,1,1,0
24,3,0,2,0,0,0,0,0,0,1,0
25,2,0,0,0,0,0,0,1,0,1,0
26,1,0,0,0,0,0,0,1,0,0,0
27,3,0,1,0,1,0,0,0,0,1,0
28,4,0,3,0,0,0,0,0,0,1,0
29,12,1,3,2,0,0,0,1,1,2,2
30,4,0,1,0,0,0,0,1,1,1,0
31,21,0,17,0,0,0,2,1,0,1,0
32,23,0,18,3,0,0,1,0,0,1,0
33,16,0,13,0,1,0,0,1,0,1,0
34,3,0,0,0,1,0,0,1,0,1,0
35,1,0,0,0,0,0,0,1,0,0,0
36,4,0,1,0,1,0,0,1,0,1,0
37,4,0,1,0,1,0,0,0,1,1,0
38,3,0,0,1,0,0,0,1,0,1,0
39,5,0,2,0,0,0,1,0,1,1,0
40,19,0,14,0,0,0,3,1,0,1,0
41,9,0,3,0,0,0,2,2,1,1,0
42,8,0,3,0,0,1,1,1,1,1,0
43,9,0,5,0,0,0,1,2,0,1,0
44,22,0,17,3,0,0,0,1,0,1,0
45,12,0,9,0,1,0,0,0,0,1,1
46,4,0,0,0,0,1,0,2,0,1,0
47,3,0,1,0,0,0,0,1,0,1,0
48,7,0,3,1,1,0,0,1,0,1,0
49,2,0,0,0,0,0,0,1,0,1,0
50,1,0,0,0,0,0,0,1,0,0,0
51,1,0,0,0,0,0,0,1,0,0,0
52,1,0,0,0,0,0,0,1,0,0,0
53,8,0,2,1,2,0,0,1,1,1,0
54,9,0,5,2,0,0,0,0,1,1,0
55,5,0,3,0,1,0,0,0,0,1,0
56,8,0,3,2,0,0,0,0,2,1,0
57,7,0,4,1,1,0,0,0,0,1,0
58,17,0,6,5,0,0,5,0,0,1,0
59,5,0,2,0,1,0,0,0,1,1,0
60,8,0,1,3,1,0,1,0,1,1,0
61,9,0,3,1,2,0,0,0,2,1,0
62,8,0,5,1,1,0,0,0,0,1,0
63,1,0,0,0,0,0,0,1,0,0,0
64,10,0,6,0,0,0,1,1,1,1,0
65,10,0,4,2,0,0,3,0,0,1,0
66,10,0,6,2,1,0,0,0,0,1,0
67,12,0,5,4,0,0,1,1,0,1,0
68,4,0,2,0,0,0,0,1,0,1,0
69,1,0,0,0,0,0,0,1,0,0,0
70,11,0,1,3,1,0,4,1,0,1,0
71,9,0,3,0,1,0,2,1,1,1,0
72,4,0,2,0,1,0,0,0,0,1,0
73,10,0,4,1,1,0,3,0,0,1,0
74,7,0,3,0,1,0,1,0,1,1,0
75,13,0,4,2,0,0,5,1,0,1,0
76,17,0,4,8,0,0,3,0,1,1,0
77,4,0,2,0,0,0,0,0,1,1,0
78,12,0,6,0,2,0,3,0,0,1,0
79,6,0,3,0,1,0,0,0,1,1,0
80,9,0,1,0,2,0,3,0,2,1,0
